Date,Price,Change %
11/28/2011,2.50,0.03
11/29/2011,2.80,0.08
11/30/2011,3.00,0.08
12/1/2011,3.10,0.03
12/2/2011,3.10,0.02
12/3/2011,2.80,-0.11
12/4/2011,2.80,0.00
12/5/2011,2.90,0.02
12/6/2011,3.00,0.05
12/7/2011,3.00,0.00
12/8/2011,3.00,0.00
12/9/2011,3.00,0.00
12/10/2011,3.00,0.03
12/11/2011,3.30,0.07
12/12/2011,3.10,-0.03
12/13/2011,3.30,0.04
12/14/2011,3.20,-0.03
12/15/2011,3.20,0.00
12/16/2011,3.20,0.00
12/17/2011,3.20,0.00
12/18/2011,3.20,0.00
12/19/2011,3.50,0.10
12/20/2011,4.00,0.12
12/21/2011,3.90,-0.02
12/22/2011,3.90,0.00
12/23/2011,4.00,0.02
12/24/2011,3.90,0.00
12/25/2011,4.20,0.07
12/26/2011,4.00,-0.05
12/27/2011,4.10,0.01
12/28/2011,4.20,0.03
12/29/2011,4.20,0.00
12/30/2011,4.30,0.02
12/31/2011,4.70,0.11
1/1/2012,5.30,0.12
1/2/2012,5.20,-0.01
1/3/2012,4.90,-0.07
1/4/2012,5.60,0.14
1/5/2012,6.90,0.25
1/6/2012,6.70,-0.04
1/7/2012,6.80,0.02
1/8/2012,7.10,0.04
1/9/2012,6.30,-0.11
1/10/2012,6.40,0.00
1/11/2012,6.90,0.08
1/12/2012,6.80,-0.01
1/13/2012,6.40,-0.06
1/14/2012,6.80,0.05
1/15/2012,7.00,0.04
1/16/2012,6.70,-0.05
1/17/2012,5.60,-0.16
1/18/2012,5.90,0.06
1/19/2012,6.40,0.07
1/20/2012,6.50,0.02
1/21/2012,6.20,-0.05
1/22/2012,6.30,0.02
1/23/2012,6.40,0.01
1/24/2012,6.30,-0.01
1/25/2012,5.80,-0.09
1/26/2012,5.30,-0.07
1/27/2012,5.30,-0.01
1/28/2012,5.60,0.06
1/29/2012,5.40,-0.04
1/30/2012,5.50,0.02
1/31/2012,5.50,0.00
2/1/2012,6.10,0.11
2/2/2012,6.10,0.00
2/3/2012,6.00,-0.02
2/4/2012,5.90,-0.02
2/5/2012,5.70,-0.03
2/6/2012,5.40,-0.04
2/7/2012,5.70,0.04
2/8/2012,5.60,-0.02
2/9/2012,5.80,0.04
2/10/2012,5.90,0.01
2/11/2012,5.60,-0.05
2/12/2012,5.50,-0.02
2/13/2012,5.30,-0.05
2/14/2012,4.50,-0.15
2/15/2012,4.30,-0.03
2/16/2012,4.30,-0.01
2/17/2012,4.40,0.03
2/18/2012,4.20,-0.04
2/19/2012,4.40,0.04
2/20/2012,4.40,0.00
2/21/2012,4.30,-0.02
2/22/2012,4.40,0.04
2/23/2012,5.00,0.13
2/24/2012,5.00,0.00
2/25/2012,4.80,-0.05
2/26/2012,4.90,0.03
2/27/2012,5.00,0.00
2/28/2012,4.90,-0.02
2/29/2012,4.90,0.00
3/1/2012,4.90,0.01
3/2/2012,4.70,-0.04
3/3/2012,4.60,-0.02
3/4/2012,4.80,0.05
3/5/2012,5.00,0.03
3/6/2012,5.00,0.00
3/7/2012,4.90,0.00
3/8/2012,4.90,0.00
3/9/2012,4.90,-0.01
3/10/2012,4.80,0.00
3/11/2012,4.90,0.02
3/12/2012,4.90,0.00
3/13/2012,5.30,0.08
3/14/2012,5.40,0.02
3/15/2012,5.30,-0.01
3/16/2012,5.30,0.00
3/17/2012,5.20,-0.02
3/18/2012,5.30,0.01
3/19/2012,4.70,-0.11
3/20/2012,4.80,0.03
3/21/2012,4.80,0.00
3/22/2012,4.70,-0.02
3/23/2012,4.70,0.00
3/24/2012,4.70,0.00
3/25/2012,4.60,-0.03
3/26/2012,4.60,0.02
3/27/2012,4.80,0.04
3/28/2012,4.80,0.00
3/29/2012,4.80,0.00
3/30/2012,4.90,0.01
3/31/2012,4.90,0.00
4/1/2012,4.80,-0.02
4/2/2012,5.00,0.03
4/3/2012,4.90,0.00
4/4/2012,4.90,0.00
4/5/2012,4.90,0.00
4/6/2012,4.90,0.00
4/7/2012,4.70,-0.05
4/8/2012,4.80,0.02
4/9/2012,4.90,0.02
4/10/2012,4.80,0.00
4/11/2012,4.90,0.02
4/12/2012,4.90,0.00
4/13/2012,4.90,0.00
4/14/2012,5.00,0.00
4/15/2012,5.00,0.00
4/16/2012,4.90,0.00
4/17/2012,5.00,0.01
4/18/2012,5.10,0.03
4/19/2012,5.10,0.00
4/20/2012,5.30,0.04
4/21/2012,5.30,-0.02
4/22/2012,5.20,-0.01
4/23/2012,5.00,-0.05
4/24/2012,5.10,0.03
4/25/2012,5.10,0.00
4/26/2012,5.10,0.00
4/27/2012,5.10,0.00
4/28/2012,5.00,-0.03
4/29/2012,4.90,-0.02
4/30/2012,4.90,0.00
5/1/2012,5.00,0.01
5/2/2012,5.10,0.01
5/3/2012,5.10,0.01
5/4/2012,5.10,-0.01
5/5/2012,5.10,0.00
5/6/2012,5.10,0.00
5/7/2012,5.10,0.00
5/8/2012,5.10,0.00
5/9/2012,5.00,0.00
5/10/2012,4.80,-0.04
5/11/2012,5.00,0.02
5/12/2012,4.90,0.00
5/13/2012,4.90,0.00
5/14/2012,5.00,0.02
5/15/2012,5.00,0.00
5/16/2012,5.10,0.01
5/17/2012,5.10,0.00
5/18/2012,5.10,0.00
5/19/2012,5.10,0.00
5/20/2012,5.10,0.00
5/21/2012,5.10,0.00
5/22/2012,5.10,0.00
5/23/2012,5.10,0.00
5/24/2012,5.10,0.00
5/25/2012,5.20,0.00
5/26/2012,5.10,-0.01
5/27/2012,5.10,0.00
5/28/2012,5.10,0.00
5/29/2012,5.20,0.00
5/30/2012,5.10,0.00
5/31/2012,5.20,0.00
6/1/2012,5.30,0.02
6/2/2012,5.30,0.00
6/3/2012,5.20,0.00
6/4/2012,5.30,0.01
6/5/2012,5.40,0.03
6/6/2012,5.50,0.00
6/7/2012,5.60,0.02
6/8/2012,5.60,0.00
6/9/2012,5.60,-0.01
6/10/2012,5.50,-0.02
6/11/2012,5.60,0.02
6/12/2012,5.70,0.02
6/13/2012,5.90,0.04
6/14/2012,5.90,0.00
6/15/2012,6.50,0.09
6/16/2012,6.40,-0.02
6/17/2012,6.20,-0.04
6/18/2012,6.30,0.02
6/19/2012,6.50,0.03
6/20/2012,6.70,0.03
6/21/2012,6.70,0.00
6/22/2012,6.60,-0.02
6/23/2012,6.40,-0.02
6/24/2012,6.30,-0.01
6/25/2012,6.30,0.00
6/26/2012,6.40,0.02
6/27/2012,6.70,0.04
6/28/2012,6.60,0.00
6/29/2012,6.70,0.00
6/30/2012,6.70,0.00
7/1/2012,6.60,-0.01
7/2/2012,6.80,0.02
7/3/2012,6.40,-0.05
7/4/2012,6.50,0.01
7/5/2012,6.70,0.02
7/6/2012,6.70,0.00
7/7/2012,6.80,0.02
7/8/2012,6.80,0.00
7/9/2012,7.00,0.03
7/10/2012,7.20,0.03
7/11/2012,7.20,0.00
7/12/2012,7.80,0.09
7/13/2012,7.70,-0.01
7/14/2012,7.50,-0.02
7/15/2012,7.60,0.01
7/16/2012,8.50,0.12
7/17/2012,8.80,0.04
7/18/2012,9.10,0.04
7/19/2012,8.90,-0.03
7/20/2012,8.50,-0.04
7/21/2012,8.90,0.04
7/22/2012,8.40,-0.05
7/23/2012,8.40,0.00
7/24/2012,8.60,0.02
7/25/2012,8.80,0.02
7/26/2012,8.90,0.01
7/27/2012,8.90,0.00
7/28/2012,8.90,0.00
7/29/2012,8.70,-0.02
7/30/2012,9.10,0.04
7/31/2012,9.40,0.03
8/1/2012,9.60,0.02
8/2/2012,10.50,0.10
8/3/2012,11.00,0.04
8/4/2012,11.00,0.00
8/5/2012,10.90,-0.01
8/6/2012,10.90,0.00
8/7/2012,11.10,0.02
8/8/2012,11.10,0.00
8/9/2012,11.10,0.00
8/10/2012,11.40,0.03
8/11/2012,11.50,0.01
8/12/2012,11.60,0.01
8/13/2012,12.00,0.04
8/14/2012,12.20,0.01
8/15/2012,13.30,0.09
8/16/2012,13.50,0.02
8/17/2012,11.60,-0.14
8/18/2012,11.60,0.00
8/19/2012,8.00,-0.31
8/20/2012,10.10,0.26
8/21/2012,9.90,-0.02
8/22/2012,9.80,-0.01
8/23/2012,10.10,0.03
8/24/2012,10.60,0.05
8/25/2012,10.50,-0.01
8/26/2012,10.60,0.01
8/27/2012,10.90,0.03
8/28/2012,10.90,0.00
8/29/2012,10.90,0.00
8/30/2012,10.80,-0.01
8/31/2012,10.20,-0.06
9/1/2012,10.00,-0.02
9/2/2012,10.20,0.02
9/3/2012,10.50,0.03
9/4/2012,10.40,-0.01
9/5/2012,11.00,0.06
9/6/2012,11.20,0.02
9/7/2012,11.00,-0.02
9/8/2012,11.00,0.00
9/9/2012,11.00,0.00
9/10/2012,11.20,0.01
9/11/2012,11.30,0.01
9/12/2012,11.40,0.00
9/13/2012,11.40,0.00
9/14/2012,11.70,0.02
9/15/2012,11.80,0.01
9/16/2012,11.90,0.01
9/17/2012,11.90,0.00
9/18/2012,12.30,0.03
9/19/2012,12.60,0.03
9/20/2012,12.30,-0.02
9/21/2012,12.40,0.01
9/22/2012,12.20,-0.01
9/23/2012,12.20,0.00
9/24/2012,12.10,-0.01
9/25/2012,12.20,0.01
9/26/2012,12.30,0.01
