Date,Bitcoin Price,S&P500 Price
11/28/2011,2.50,1192.55
11/29/2011,2.80,1195.19
11/30/2011,3.00,1246.96
12/1/2011,3.10,1244.58
12/2/2011,3.10,1244.28
12/5/2011,2.90,1257.08
12/6/2011,3.00,1258.47
12/7/2011,3.00,1261.01
12/8/2011,3.00,1234.35
12/9/2011,3.00,1255.19
12/12/2011,3.10,1236.47
12/13/2011,3.30,1225.73
12/14/2011,3.20,1211.82
12/15/2011,3.20,1215.75
12/16/2011,3.20,1219.66
12/19/2011,3.50,1205.35
12/20/2011,4.00,1241.30
12/21/2011,3.90,1243.72
12/22/2011,3.90,1254.00
12/23/2011,4.00,1265.33
12/27/2011,4.10,1265.43
12/28/2011,4.20,1249.64
12/29/2011,4.20,1263.02
12/30/2011,4.30,1257.60
1/3/2012,4.90,1277.06
1/4/2012,5.60,1277.30
1/5/2012,6.90,1281.06
1/6/2012,6.70,1277.81
1/9/2012,6.30,1280.70
1/10/2012,6.40,1292.08
1/11/2012,6.90,1292.48
1/12/2012,6.80,1295.50
1/13/2012,6.40,1289.09
1/17/2012,5.60,1293.67
1/18/2012,5.90,1308.04
1/19/2012,6.40,1314.50
1/20/2012,6.50,1315.38
1/23/2012,6.40,1316.00
1/24/2012,6.30,1314.65
1/25/2012,5.80,1326.05
1/26/2012,5.30,1318.43
1/27/2012,5.30,1316.33
1/30/2012,5.50,1313.01
1/31/2012,5.50,1312.41
2/1/2012,6.10,1324.09
2/2/2012,6.10,1325.54
2/3/2012,6.00,1344.90
2/6/2012,5.40,1344.33
2/7/2012,5.70,1347.05
2/8/2012,5.60,1349.96
2/9/2012,5.80,1351.95
2/10/2012,5.90,1342.64
2/13/2012,5.30,1351.77
2/14/2012,4.50,1350.50
2/15/2012,4.30,1343.23
2/16/2012,4.30,1358.04
2/17/2012,4.40,1361.23
2/21/2012,4.30,1362.21
2/22/2012,4.40,1357.66
2/23/2012,5.00,1363.46
2/24/2012,5.00,1365.74
2/27/2012,5.00,1367.59
2/28/2012,4.90,1372.18
2/29/2012,4.90,1365.68
3/1/2012,4.90,1374.09
3/2/2012,4.70,1369.63
3/5/2012,5.00,1364.33
3/6/2012,5.00,1343.36
3/7/2012,4.90,1352.63
3/8/2012,4.90,1365.91
3/9/2012,4.90,1370.87
3/12/2012,4.90,1371.09
3/13/2012,5.30,1395.95
3/14/2012,5.40,1394.28
3/15/2012,5.30,1402.60
3/16/2012,5.30,1404.17
3/19/2012,4.70,1409.75
3/20/2012,4.80,1405.52
3/21/2012,4.80,1402.89
3/22/2012,4.70,1392.78
3/23/2012,4.70,1397.11
3/26/2012,4.60,1416.51
3/27/2012,4.80,1412.52
3/28/2012,4.80,1405.54
3/29/2012,4.80,1403.28
3/30/2012,4.90,1408.47
4/2/2012,5.00,1419.04
4/3/2012,4.90,1413.38
4/4/2012,4.90,1398.96
4/5/2012,4.90,1398.08
4/9/2012,4.90,1382.20
4/10/2012,4.80,1358.59
4/11/2012,4.90,1368.71
4/12/2012,4.90,1387.57
4/13/2012,4.90,1370.26
4/16/2012,4.90,1369.57
4/17/2012,5.00,1390.78
4/18/2012,5.10,1385.14
4/19/2012,5.10,1376.92
4/20/2012,5.30,1378.53
4/23/2012,5.00,1366.94
4/24/2012,5.10,1371.97
4/25/2012,5.10,1390.69
4/26/2012,5.10,1399.98
4/27/2012,5.10,1403.36
4/30/2012,4.90,1397.91
5/1/2012,5.00,1405.82
5/2/2012,5.10,1402.31
5/3/2012,5.10,1391.57
5/4/2012,5.10,1369.10
5/7/2012,5.10,1369.58
5/8/2012,5.10,1363.72
5/9/2012,5.00,1354.58
5/10/2012,4.80,1357.99
5/11/2012,5.00,1353.39
5/14/2012,5.00,1338.35
5/15/2012,5.00,1330.66
5/16/2012,5.10,1324.80
5/17/2012,5.10,1304.86
5/18/2012,5.10,1295.22
5/21/2012,5.10,1315.99
5/22/2012,5.10,1316.63
5/23/2012,5.10,1318.86
5/24/2012,5.10,1320.68
5/25/2012,5.20,1317.82
5/29/2012,5.20,1332.42
5/30/2012,5.10,1313.32
5/31/2012,5.20,1310.33
6/1/2012,5.30,1278.04
6/4/2012,5.30,1278.18
