Date,Price
11/28/2011,2527.30
11/29/2011,2515.50
11/30/2011,2620.30
12/1/2011,2626.20
12/2/2011,2626.90
12/5/2011,2655.80
12/6/2011,2649.60
12/7/2011,2649.20
12/8/2011,2596.40
12/9/2011,2646.90
12/12/2011,2612.30
12/13/2011,2579.30
12/14/2011,2539.30
12/15/2011,2541.00
12/16/2011,2555.30
12/19/2011,2523.10
12/20/2011,2603.70
12/21/2011,2578.00
12/22/2011,2599.40
12/23/2011,2618.60
12/27/2011,2625.20
12/28/2011,2590.00
12/29/2011,2613.70
12/30/2011,2605.10
1/3/2012,2648.70
1/4/2012,2648.40
1/5/2012,2669.90
1/6/2012,2674.20
1/9/2012,2676.60
1/10/2012,2702.50
1/11/2012,2710.80
1/12/2012,2724.70
1/13/2012,2710.70
1/17/2012,2728.10
1/18/2012,2769.70
1/19/2012,2788.30
1/20/2012,2786.70
1/23/2012,2784.20
1/24/2012,2786.60
1/25/2012,2818.30
1/26/2012,2805.30
1/27/2012,2816.60
1/30/2012,2811.90
1/31/2012,2813.80
2/1/2012,2848.30
2/2/2012,2859.70
2/3/2012,2905.70
2/6/2012,2902.00
2/7/2012,2904.10
2/8/2012,2915.90
2/9/2012,2927.20
2/10/2012,2903.90
2/13/2012,2931.40
2/14/2012,2931.80
2/15/2012,2915.80
2/16/2012,2959.90
2/17/2012,2951.80
2/21/2012,2948.60
2/22/2012,2933.20
2/23/2012,2957.00
2/24/2012,2963.80
2/27/2012,2966.20
2/28/2012,2986.80
2/29/2012,2966.90
3/1/2012,2989.00
3/2/2012,2976.20
3/5/2012,2950.50
3/6/2012,2910.30
3/7/2012,2935.70
3/8/2012,2970.40
3/9/2012,2988.30
3/12/2012,2983.70
3/13/2012,3039.90
3/14/2012,3040.70
3/15/2012,3056.40
3/16/2012,3055.30
3/19/2012,3078.30
3/20/2012,3074.10
3/21/2012,3075.30
3/22/2012,3063.30
3/23/2012,3067.90
3/26/2012,3122.60
3/27/2012,3120.40
3/28/2012,3105.00
3/29/2012,3095.40
3/30/2012,3091.60
4/2/2012,3119.70
4/3/2012,3113.60
4/4/2012,3068.10
4/5/2012,3080.50
4/9/2012,3047.10
4/10/2012,2991.20
4/11/2012,3016.50
4/12/2012,3055.60
4/13/2012,3011.30
4/16/2012,2988.40
4/17/2012,3042.80
4/18/2012,3031.40
4/19/2012,3007.60
4/20/2012,3000.40
4/23/2012,2970.40
4/24/2012,2961.60
4/25/2012,3029.60
4/26/2012,3050.60
4/27/2012,3069.20
4/30/2012,3046.40
5/1/2012,3050.40
5/2/2012,3059.90
5/3/2012,3024.30
5/4/2012,2956.30
5/7/2012,2957.80
5/8/2012,2946.30
5/9/2012,2934.70
5/10/2012,2933.60
5/11/2012,2933.80
5/14/2012,2902.60
5/15/2012,2893.80
5/16/2012,2874.00
5/17/2012,2813.70
5/18/2012,2778.80
5/21/2012,2847.20
5/22/2012,2839.10
5/23/2012,2850.10
5/24/2012,2839.40
5/25/2012,2837.50
5/29/2012,2871.00
5/30/2012,2837.40
5/31/2012,2827.30
6/1/2012,2747.50
6/4/2012,2760.00
6/5/2012,2778.10
6/6/2012,2844.70
6/7/2012,2831.00
6/8/2012,2858.40
6/11/2012,2809.70
6/12/2012,2843.10
6/13/2012,2818.60
6/14/2012,2836.30
6/15/2012,2872.80
6/18/2012,2895.30
6/19/2012,2929.80
6/20/2012,2930.40
6/21/2012,2859.10
6/22/2012,2892.40
6/25/2012,2836.20
6/26/2012,2854.10
6/27/2012,2875.30
6/28/2012,2849.50
6/29/2012,2935.10
7/2/2012,2951.20
7/3/2012,2976.10
7/5/2012,2976.10
7/6/2012,2937.30
7/9/2012,2931.80
7/10/2012,2902.30
7/11/2012,2888.00
7/12/2012,2866.20
7/13/2012,2908.50
7/16/2012,2896.90
7/17/2012,2910.00
7/18/2012,2942.60
7/19/2012,2965.90
7/20/2012,2925.30
7/23/2012,2890.10
7/24/2012,2863.00
7/25/2012,2854.20
7/26/2012,2893.30
7/27/2012,2958.10
7/30/2012,2945.80
7/31/2012,2939.50
8/1/2012,2920.20
8/2/2012,2909.80
8/3/2012,2967.90
8/6/2012,2989.90
8/7/2012,3015.90
